state_fips,state_pc,statename,yearmonth,bbce,bbce_inclmt,bbce_asset,bbce_a_amt,bbce_a_veh,bbce_hh,bbce_sen,call,cap,certearn0103,certearn0406,certearn0712,certearn1399,certearnavg,certearnmed,certeld0103,certeld0406,certeld0712,certeld1399,certeldavg,certeldmed,certnonearn0103,certnonearn0406,certnonearn0712,certnonearn1399,certnonearnavg,certnonearnmed,ebtissuance,faceini,facerec,fingerprint,noncitadultfull,noncitadultpart,noncitchildfull,noncitchildpart,nonciteldfull,nonciteldpart,oapp,outreach,reportsimple,transben,vehexclall,vehexclamt,vehexclone
1,AL,Alabama,199705,0,-9,-9,-9,-9,-9,-9,0,0,0,0.053575283,0.946424717,0,11.6785483,12,0.023809524,0.028739779,0.947450697,0,11.57106782,12,0.057163127,0.297302913,0.64553396,0,9.519420608,12,0.228387775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199706,0,-9,-9,-9,-9,-9,-9,0,0,0.005555556,0.04075477,0.953689675,0,11.70547138,12,0.023809524,0.021164021,0.955026455,0,11.64087302,12,0.051217382,0.286340446,0.662442172,0,9.595043053,12,0.230751746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199707,0,-9,-9,-9,-9,-9,-9,0,0,0.005555556,0.0624939,0.931950544,0,11.5750366,12,0.023809524,0.009259259,0.966931217,0,11.71230159,12,0.054754797,0.267292827,0.677952376,0,9.632730128,12,0.229503853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199708,0,-9,-9,-9,-9,-9,-9,0,0,0.005555556,0.063481555,0.93096289,0,11.56911067,12,0.023809524,0.009259259,0.966931217,0,11.71230159,12,0.038830246,0.251290971,0.709878783,0,9.850958328,12,0.351247322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199709,0,-9,-9,-9,-9,-9,-9,0,0,0.005555556,0.062413179,0.932031266,0,11.57552093,12,0.023809524,0,0.976190476,0,11.76785714,12,0.036724982,0.259536585,0.703738432,0,9.817975872,12,0.602972308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199710,0,-9,-9,-9,-9,-9,-9,0,0,0.013888889,0.072135401,0.91397571,0,11.4296876,12,0,0,1,0,11.99404762,12,0.045496912,0.245752124,0.708750964,0,9.815887318,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199711,0,-9,-9,-9,-9,-9,-9,0,0,0.019265233,0.080688676,0.900046092,0,11.31922816,12,0,0,1,0,11.97650376,12,0.044868377,0.251094676,0.704036947,0,9.781632132,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199712,0,-9,-9,-9,-9,-9,-9,0,0,0.013709677,0.11045058,0.875839742,0,11.17875197,12,0,0.008333333,0.983333333,0.008333333,12.00745614,12,0.050210257,0.238808351,0.710981392,0,9.838256064,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199801,0,-9,-9,-9,-9,-9,-9,0,0,0.013709677,0.117696957,0.868593365,0,11.1062882,12,0,0.008333333,0.983333333,0.008333333,12.00745614,12,0.040006175,0.236643849,0.723349976,0,9.99178111,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199802,0,-9,-9,-9,-9,-9,-9,0,0,0.013709677,0.125869,0.860421322,0,11.05725595,12,0,0.008333333,0.983333333,0.008333333,12.00745614,12,0.049463617,0.236477929,0.714058454,0,9.951213664,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199803,0,-9,-9,-9,-9,-9,-9,0,0,0.013709677,0.128921503,0.857368819,0,11.03894093,12,0,0.017105263,0.974561404,0.008333333,11.95482456,12,0.04279695,0.217450151,0.739752898,0,10.11760255,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199804,0,-9,-9,-9,-9,-9,-9,0,0,0.012320789,0.112254836,0.875424375,0,11.16394093,12,0,0.026909185,0.964757482,0.008333333,11.89600103,12,0.045136132,0.239964771,0.714899097,0,10.0080509,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199805,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.104897734,0.888157822,0,11.17950403,12,0,0.026909185,0.964757482,0.008333333,11.89687822,12,0.049196671,0.241164476,0.709638854,0,9.95157249,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199806,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.087040591,0.906014964,0,11.29855165,12,0,0.018575851,0.981424149,0,11.87187822,12,0.048641115,0.259775587,0.691583298,0,9.84657249,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199807,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.091388417,0.901667138,0,11.3014502,12,0,0.018575851,0.981424149,0,11.87187822,12,0.056577623,0.261940089,0.681482288,0,9.66583656,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199808,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.069883041,0.923172515,0,11.43048246,12,0,0.018575851,0.981424149,0,11.87187822,12,0.04031746,0.262956349,0.69672619,0,9.810145503,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199809,0,-9,-9,-9,-9,-9,-9,0,0,0.006944444,0.109565581,0.883489975,0,11.19238722,12,0,0.176470588,0.823529412,0,10.75784314,10.83333333,0.04031746,0.28031746,0.679365079,0,9.692089947,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199810,0,-9,-9,-9,-9,-9,-9,0,0,0,0.109565581,0.890434419,0,11.25488722,12,0.007246377,0.173913043,0.81884058,0,10.70797101,10.83333333,0.039844647,0.26424181,0.695913543,0,9.757968592,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AL,Alabama,199811,0,-9,-9,-9,-9,-9,-9,0,0,0,0.106349206,0.893650794,0,11.35079365,12,0.007246377,0.189064559,0.803689065,0,10.63372859,10.83333333,0.042777704,0.234393639,0.722828657,0,9.911177701,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199812,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.094444444,0.894444444,0,11.28333333,12,0.007246377,0.189064559,0.803689065,0,10.58164526,10.83333333,0.043049813,0.225277993,0.731672194,0,9.979613076,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199901,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.066013072,0.922875817,0,11.45392157,12,0.007246377,0.200969321,0.791784303,0,10.51021669,10.83333333,0.050617181,0.208666697,0.736840153,0.003875969,10.13409813,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199902,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.066013072,0.922875817,0,11.44058824,12,0.007246377,0.200969321,0.791784303,0,10.51021669,10.83333333,0.070458451,0.178904792,0.746760788,0.003875969,10.09838384,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199903,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.017703893,0.971184996,0,11.73044331,12,0.007246377,0.041878411,0.950875212,0,11.63142881,12,0.078394959,0.172952411,0.744776661,0.003875969,10.09639971,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199904,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.028456581,0.960432308,0,11.63366911,12,0,0.034632035,0.965367965,0,11.74012446,12,0.075164069,0.189028062,0.731931901,0.003875969,10.00829885,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199905,0,-9,-9,-9,-9,-9,-9,0,0,0.011111111,0.034012137,0.954876752,0,11.61144689,12,0,0.019480519,0.980519481,0,11.83103355,12,0.072231011,0.199034963,0.724858057,0.003875969,9.962232593,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199906,0,-9,-9,-9,-9,-9,-9,0,0,0,0.039964518,0.960035482,0,11.70271673,12,0,0.028739779,0.971260221,0,11.80904281,12,0.065871946,0.187425971,0.742826114,0.003875969,10.09481171,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199907,0,-9,-9,-9,-9,-9,-9,0,0,0,0.035062557,0.964937443,0,11.69589661,12,0,0.033501684,0.966498316,0,11.76380471,12,0.060784737,0.205029331,0.734185933,0,9.937350472,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199908,0,-9,-9,-9,-9,-9,-9,0,0,0,0.042007001,0.957992999,0,11.66756328,12,0,0.04016835,0.95983165,0,11.69713805,12,0.06055131,0.232340255,0.707108435,0,9.762280444,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199909,0,-9,-9,-9,-9,-9,-9,0,0,0.005952381,0.052617768,0.941429852,0,11.52651773,12,0.013888889,0.032592593,0.953518519,0,11.61759259,12,0.063484367,0.254596984,0.681918649,0,9.59578631,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199910,0,-9,-9,-9,-9,-9,-9,0,0,0.012896825,0.041865079,0.945238095,0,11.56079193,12,0.013888889,0.040925926,0.945185185,0,11.56759259,12,0.062743626,0.250152539,0.687103834,0,9.67615668,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199911,0,-9,-9,-9,-9,-9,-9,0,0,0.018452381,0.030753968,0.950793651,0,11.54968081,12,0.013888889,0.040925926,0.945185185,0,11.56759259,12,0.054807118,0.260073174,0.685119707,0,9.710548214,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,199912,0,-9,-9,-9,-9,-9,-9,0,0,0.018452381,0.03629584,0.945251779,0,11.51684009,12,0.013888889,0.031666667,0.954444444,0,11.64166667,12,0.061166184,0.264879445,0.670553011,0.003401361,9.758241205,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200001,0,-9,-9,-9,-9,-9,-9,0,0,0.018452381,0.03629584,0.945251779,0,11.55307198,12,0.013888889,0.015,0.971111111,0,11.75833333,12,0.058879598,0.260983781,0.67673526,0.003401361,9.843098928,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200002,0,-9,-9,-9,-9,-9,-9,0,0,0.027224311,0.038123326,0.934652364,0,11.4631597,12,0.013888889,0.026851852,0.959259259,0,11.69537037,12,0.046363954,0.267867385,0.6823673,0.003401361,9.860620831,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200003,0,-9,-9,-9,-9,-9,-9,0,0,0.02127193,0.025316688,0.953411382,0,11.60727946,12,0,0.036111111,0.963888889,0,11.76481481,12,0.043246327,0.240904123,0.708572221,0.00727733,10.07270374,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200004,0,-9,-9,-9,-9,-9,-9,0,0,0.014327485,0.041189704,0.944482811,0,11.55866835,12,0,0.027777778,0.972222222,0,11.81481481,12,0.051394475,0.252755974,0.688572221,0.00727733,9.910851891,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200005,0,-9,-9,-9,-9,-9,-9,0,0,0.00877193,0.061189704,0.930038367,0,11.48977946,12,0,0.027777778,0.972222222,0,11.81481481,12,0.061811142,0.231922641,0.698988888,0.00727733,9.934000039,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200006,0,-9,-9,-9,-9,-9,-9,0,0,0.00877193,0.049695451,0.941532619,0,11.5485001,12,0,0.027777778,0.972222222,0,11.81481481,12,0.056335781,0.227028,0.71276025,0.003875969,9.823829141,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200007,0,-9,-9,-9,-9,-9,-9,0,0,0.00877193,0.055071795,0.936156275,0,11.51624204,12,0,0.027777778,0.972222222,0,11.81481481,12,0.048205699,0.237868109,0.710050223,0.003875969,9.806101047,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200008,0,-9,-9,-9,-9,-9,-9,0,0,0.007936508,0.054236373,0.937827119,0,11.51290035,12,0,0.009259259,0.990740741,0,11.94444444,12,0.055297898,0.213045414,0.727780719,0.003875969,9.937306721,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,AL,Alabama,200009,0,-9,-9,-9,-9,-9,-9,0,0,0.014109347,0.061531547,0.924359106,0,11.41132908,12,0,0,1,0,12,12,0.04754596,0.225515923,0.726938117,0,9.891890476,12,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
